"TIMESTAMP","TA_F","TA_F_QC","SW_IN_POT","SW_IN_F","SW_IN_F_QC","LW_IN_F","LW_IN_F_QC","VPD_F","VPD_F_QC","PA_F","PA_F_QC","P_F","P_F_QC","WS_F","WS_F_QC","USTAR","USTAR_QC","NETRAD","NETRAD_QC","PPFD_IN","PPFD_IN_QC","PPFD_OUT","PPFD_OUT_QC","SW_DIF","SW_DIF_QC","SW_OUT","SW_OUT_QC","LW_OUT","LW_OUT_QC","CO2_F_MDS","CO2_F_MDS_QC","TS_F_MDS_1","TS_F_MDS_2","TS_F_MDS_3","TS_F_MDS_4","TS_F_MDS_5","TS_F_MDS_6","TS_F_MDS_7","TS_F_MDS_8","TS_F_MDS_9","TS_F_MDS_1_QC","TS_F_MDS_2_QC","TS_F_MDS_3_QC","TS_F_MDS_4_QC","TS_F_MDS_5_QC","TS_F_MDS_6_QC","TS_F_MDS_7_QC","TS_F_MDS_8_QC","TS_F_MDS_9_QC","SWC_F_MDS_1","SWC_F_MDS_2","SWC_F_MDS_3","SWC_F_MDS_4","SWC_F_MDS_5","SWC_F_MDS_6","SWC_F_MDS_7","SWC_F_MDS_8","SWC_F_MDS_1_QC","SWC_F_MDS_2_QC","SWC_F_MDS_3_QC","SWC_F_MDS_4_QC","SWC_F_MDS_5_QC","SWC_F_MDS_6_QC","SWC_F_MDS_7_QC","SWC_F_MDS_8_QC","G_F_MDS","G_F_MDS_QC","LE_F_MDS","LE_F_MDS_QC","LE_CORR","LE_CORR_25","LE_CORR_75","LE_RANDUNC","H_F_MDS","H_F_MDS_QC","H_CORR","H_CORR_25","H_CORR_75","H_RANDUNC","NEE_VUT_REF","NEE_VUT_REF_QC","NEE_VUT_REF_RANDUNC","NEE_VUT_25","NEE_VUT_50","NEE_VUT_75","NEE_VUT_25_QC","NEE_VUT_50_QC","NEE_VUT_75_QC","RECO_NT_VUT_REF","RECO_NT_VUT_25","RECO_NT_VUT_50","RECO_NT_VUT_75","GPP_NT_VUT_REF","GPP_NT_VUT_25","GPP_NT_VUT_50","GPP_NT_VUT_75","RECO_DT_VUT_REF","RECO_DT_VUT_25","RECO_DT_VUT_50","RECO_DT_VUT_75","GPP_DT_VUT_REF","GPP_DT_VUT_25","GPP_DT_VUT_50","GPP_DT_VUT_75","Year","Precip","PAR_e","tsoil","svp","aqEvap","netrad","VPD_kPa"
20190101,21.775,1,234.947,150.087,1,356.954,1,7.265,1,101.534,1,0,1,2.453,1,0.199666666666667,1,63.8072916666667,1,-9999,0,-9999,0,38.1541666666667,1,19.1,1,428.989583333333,1,-9999,-9999,20.466,20.082,19.746,19.896,19.364,18.923,18.957,19.252,19.711,1,1,1,1,1,1,1,1,1,5.602,5.469,5.471,6.145,5.609,5.241,4.747,4.021,0.9375,1,1,1,0.979167,1,1,1,0.427198,-9999,73.4662,-9999,78.3638,-9999,-9999,-9999,65.319,-9999,69.232,-9999,-9999,-9999,-1.77351,0,-9999,-2.00944,-1.77351,-1.6855,0,0,0,3.76429,3.74896,3.75978,3.76115,5.5378,5.44609,5.44879,5.64405,5.70484,5.218,5.70571,5.94374,4.82288,4.63044,4.82288,4.82288,2019,0,0,21.775,2.64196503567067,0.225055308396947,63.8072916666667,0.7265
20190102,21.31,1,235.537,117.457,1,372.267,1,5.967,1,101.492,1,0,1,1.773,0.979167,0.169893617021277,0.979166666666667,47.5752083333333,1,-9999,0,-9999,0,72.9625,1,14.3395833333333,1,428.183333333333,1,-9999,-9999,20.307,19.913,19.604,19.796,19.445,19.102,19.191,19.433,19.808,1,1,1,1,1,1,1,1,1,5.467,5.194,5.351,6.074,5.495,5.336,4.788,4.009,0.958333,1,0.979167,1,0.979167,0.979167,0.9375,0.979167,1.50075,-9999,73.491,-9999,77.0986,-9999,-9999,-9999,66.5574,-9999,69.3747,-9999,-9999,-9999,-1.78197,0,-9999,-2.10217,-1.78197,-1.69473,0,0,0,3.6708,3.65229,3.66534,3.667,5.45277,5.36105,5.36431,5.76505,5.67607,5.12862,5.67693,5.91376,4.26475,4.06672,4.26474,4.26475,2019,0,0,18.5573333333333,2.56643692976669,0.16772783038036,47.5752083333333,0.5967
20190103,21.216,1,236.181,114.194,1,372.973,1,4.457,1,101.148,1,0,1,3.064,1,0.343833333333333,1,43.900625,1,-9999,0,-9999,0,84.9395833333333,1,14.6885416666667,1,429.341666666667,1,-9999,-9999,20.621,20.186,19.814,19.955,19.56,19.238,19.352,19.592,19.911,1,1,1,1,1,1,1,1,1,5.266,5.027,5.237,5.853,5.435,5.328,4.802,3.992,0.979167,1,0.979167,1,1,1,0.958333,1,2.74426,-9999,73.1224,-9999,75.7828,-9999,-9999,-9999,67.094,-9999,69.0816,-9999,-9999,-9999,-1.64641,0,-9999,-1.98539,-1.64641,-1.57573,0,0,0,3.65085,3.63158,3.64517,3.6469,5.29726,5.22192,5.22532,5.58525,5.67047,5.11022,5.67133,5.90793,4.4311,4.20297,4.41361,4.4311,2019,0,0,19.222,2.55140485271825,0.154758867754307,43.900625,0.4457
20190104,18.982,1,236.879,84.302,1,395.952,1,3.344,1,100.748,1,14.452,1,3.784,0.666667,0.6538125,0.666666666666667,48.3697916666667,1,-9999,0,-9999,0,63.8041666666667,1,11.1704166666667,1,420.960416666667,1,-9999,-9999,20.373,20.074,19.896,20.153,19.774,19.418,19.514,19.729,20.01,1,1,1,1,1,1,1,1,1,6.943,5.604,5.194,5.672,5.318,5.317,4.886,3.996,0.979167,1,0.979167,1,1,1,0.979167,0.979167,-2.62028,-9999,73.4662,-9999,75.2293,-9999,-9999,-9999,65.319,-9999,66.8866,-9999,-9999,-9999,-1.77351,0,-9999,-2.00944,-1.77351,-1.6855,0,0,0,3.23332,3.20246,3.22422,3.22699,5.00683,4.91135,4.9168,5.14861,5.52451,4.6911,5.52535,5.75586,3.19416,3.02047,3.18077,3.19416,2019,1.4452,0,19.174,2.21648115887655,0.170147196406938,48.3697916666667,0.3344
20190105,12.587,1,237.629,177.844,1,289.271,1,3.958,1,101.072,1,0,1,3.086,1,0.482395833333333,1,67.0720833333333,1,-9999,0,-9999,0,19.5375,1,24.5160416666667,1,382.645833333333,1,-9999,-9999,16.865,17.04,17.609,18.537,19.41,19.388,19.618,19.856,20.103,1,1,1,1,1,1,1,1,1,7.381,6.121,5.566,5.521,5.159,5.195,5.005,4.04,1,0.979167,0.9375,0.979167,1,0.958333,0.895833,0.979167,-18.0202,-9999,73.491,-9999,74.4618,-9999,-9999,-9999,66.5574,-9999,67.4366,-9999,-9999,-9999,-1.78197,0,-9999,-2.10217,-1.78197,-1.69473,0,0,0,2.12885,2.07444,2.11424,2.11759,3.91083,3.8103,3.81998,4.21484,5.08416,3.52531,5.08494,5.29707,5.38443,5.15309,5.36665,5.38444,2019,0,0,19.174,1.4636369344884,0.234492805165873,67.0720833333333,0.3958
20190106,13.51,1,238.432,180.982,1,284.404,1,5.874,1,101.554,0.958333,0,1,2.026,1,0.196958333333333,1,63.9052083333333,1,-9999,0,-9999,0,18.8625,1,23.99125,1,382.81875,1,-9999,-9999,15.524,15.61,16.098,17.048,18.449,18.842,19.389,19.943,20.189,1,1,1,1,1,1,1,1,1,6.29,5.72,5.368,5.508,5.111,5.146,5.055,4.06,1,0.958333,0.916667,0.958333,1,0.958333,0.854167,0.958333,-12.9229,-9999,73.1224,-9999,73.5695,-9999,-9999,-9999,67.094,-9999,67.4124,-9999,-9999,-9999,-1.64641,0,-9999,-1.98539,-1.64641,-1.57573,0,0,0,2.30515,2.25553,2.29182,2.29488,3.95156,3.86877,3.87759,4.27579,5.14337,3.70164,5.14416,5.35877,5.3166,5.10467,5.30029,5.31661,2019,0,0,17.521,1.55576101142673,0.223618595286537,63.9052083333333,0.5874
20190107,17.02,1,239.288,168.345,1,320.365,1,6.059,1,101.736,1,0,1,2.23,0.979167,0.186957446808511,0.979166666666667,72.4035416666667,1,-9999,-9999,-9999,-9999,35.8333333333333,1,22.0464583333333,1,399.458333333333,1,-9999,-9999,16.378,16.212,16.286,16.917,17.907,18.331,19.013,19.931,20.245,1,1,1,1,1,1,1,1,1,5.97,5.747,5.363,5.659,5.154,5.156,5.041,4.069,1,0.979167,0.9375,0.979167,1,1,0.875,0.958333,-7.14396,-9999,73.4662,-9999,73.9269,-9999,-9999,-9999,65.319,-9999,65.6391,-9999,-9999,-9999,-1.77351,0,-9999,-2.00944,-1.77351,-1.6855,0,0,0,2.89773,2.85988,2.88654,2.88995,4.67124,4.57405,4.58074,4.83398,5.38857,4.33482,5.38939,5.61423,5.10567,4.90238,5.1005,5.10567,2019,0,0,16.663,1.95530105142757,0.254209631875221,72.4035416666667,0.6059
20190108,17.839,1,240.194,153.861,1,330.596,1,4.837,1,101.571,1,0,1,2.211,0.979167,0.291595744680851,0.979166666666667,60.8589583333333,1,-9999,0,-9999,0,53.15,1,20.408125,1,406.816666666667,1,-9999,-9999,17.417,17.178,17.068,17.487,17.929,18.165,18.782,19.847,20.251,1,1,1,1,1,1,1,1,1,5.794,5.486,5.277,5.75,5.161,5.14,5.104,4.099,1,1,0.958333,1,1,1,0.979167,0.979167,-2.57849,-9999,73.491,-9999,73.9633,-9999,-9999,-9999,66.5574,-9999,66.8939,-9999,-9999,-9999,-1.78197,0,-9999,-2.10217,-1.78197,-1.69473,0,0,0,3.0154,2.97815,3.00441,3.00775,4.79737,4.70111,4.70768,5.10658,5.4508,4.47505,5.45163,5.67906,5.08056,4.85072,5.06292,5.08057,2019,0,0,15.9876,2.06078276603837,0.213844538506246,60.8589583333333,0.4837
20190109,14.151,1,241.152,167.265,1,290.356,1,5.978,1,101.327,1,0,1,3.057,1,0.474895833333333,1,50.0872916666667,1,-9999,0,-9999,0,41.6583333333333,1,23.2895833333333,1,388.533333333333,1,-9999,-9999,16.571,16.56,16.803,17.451,18.026,18.185,18.726,19.763,20.224,1,1,1,1,1,1,1,1,1,5.813,5.254,5.187,5.585,5.124,5.158,5.093,4.128,0.979167,1,0.979167,1,1,1,0.9375,1,-10.1019,-9999,73.1224,-9999,73.6037,-9999,-9999,-9999,67.094,-9999,67.4437,-9999,-9999,-9999,-1.64641,0,-9999,-1.98539,-1.64641,-1.57573,0,0,0,2.37566,2.32472,2.362,2.36513,4.02207,3.93897,3.94802,4.34593,5.19755,3.80121,5.19834,5.41521,5.08802,4.87965,5.07199,5.08803,2019,0,0,15.0214,1.62275461050965,0.175374347441203,50.0872916666667,0.5978
20190110,8.201,1,242.16,181.488,1,249.892,1,5.74,1,101.405,1,0,1,3.224,1,0.378791666666667,1,52.0645833333333,1,-9999,0,-9999,0,25.0666666666667,1,25.8158333333333,1,357.727083333333,1,-9999,-9999,13.287,13.649,14.549,15.788,17.471,17.945,18.619,19.707,20.189,1,1,1,1,1,1,1,1,1,5.154,5.049,4.938,5.475,5.026,5.144,5.124,4.176,1,1,0.958333,1,0.979167,0.979167,0.9375,0.979167,-19.2299,-9999,73.4662,-9999,74.1489,-9999,-9999,-9999,65.319,-9999,65.8365,-9999,-9999,-9999,-1.77351,0,-9999,-2.00944,-1.77351,-1.6855,0,0,0,1.52818,1.47137,1.51282,1.51634,3.30169,3.19972,3.20988,3.52052,4.7422,2.79658,4.7422,4.94079,5.44782,5.21525,5.42994,5.44783,2019,0,0,14.1442,1.08914534938252,0.181265115677807,52.0645833333333,0.574
