"pName","DEBR","EGBR","EGNE","DENE","GR","SH","CR"
"Amax",112,112,60,60,190,66.5,190
"Ad",0.75,0.75,0.75,0.75,0.8,0.75,0.8
"Kf",0.08,0.08,0.08,0.08,0.08,0.08,0.08
"Tmin",4,4,0,0,4,4,4
"Tmax",40,40,40,40,40,40,40
"Topt",24,24,20,20,28,24,28
"Kvpd",0.05,0.05,0.21,0.21,0.05,0.2,0.05
"PARhalf",17,17,17,17,26,17,26
"k",0.58,0.58,0.35,0.35,0.62,0.68,0.62
"Don",180,180,0,0,180,180,180
"Doff",280,280,0,0,280,280,280
"Lmax",5,5,4,4,4,2,4
"Ka",0.006,0.006,0.006,0.006,0,0.006,0
"Q10v",2,2,2,2,2,2,2
"Kdoc",0.07,0.07,0.07,0.07,0.07,0.07,0.07
"Q10s",2,2,2,2,2,2,2
"f",0.4,0.4,0.4,0.4,0.4,0.4,0.4
"Kwue",7,7,12.5,12.5,12,8,12
"Wmax1",10,10,10,10,10,10,10
"SLW",70,70,80,80,30,180,30
"Cfrac",0.45,0.45,0.45,0.45,0.45,0.45,0.45
"Kw",0.003,0.003,0.003,0.003,0.03,0.03,0.03
"Aa",1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05
"Ac",2e+05,2e+05,2e+05,2e+05,2e+05,2e+05,2e+05
"zbar",3,3,3,3,3,3,3
"Cprecip",1,1,1,1,1,1,1
"deltaA",0.01,0.01,0.01,0.01,0.01,0.01,0.01
"deltaS1",0.37,0.37,0.37,0.37,0.37,0.37,0.37
"lambdaS1",0.4,0.4,0.4,0.4,0.4,0.4,0.4
"lambdaS3",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"bi",0.3,0.3,0.3,0.3,0.3,0.3,0.3
"Tstar",100,100,100,100,100,100,100
"W20",10,10,10,10,10,10,10
"Kr",0.55,0.55,0.55,0.55,0.55,0.35,0.55
"aw",0.1,0.1,0.1,0.1,0,0.1,0
"l",0.00273972602739726,0.0010958904109589,0.0010958904109589,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726
"lt",0,0.0027,0.0027,0,0.0027,0,0.0027
"r",1,1,1,1,1,1,1
"Ks",15.45,15.45,15.45,15.45,15.45,15.45,15.45
"Bp",0.16,0.16,0.16,0.16,0.16,0.16,0.16
"Wmax2",50,50,50,50,50,50,50
"Kcwd",0.01,0.01,0.01,0.01,0,0.01,0
"ag",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"rhoS1",0.4,0.4,0.4,0.4,0.4,0.4,0.4
"rhoS2",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"rhoS3",0.55,0.55,0.55,0.55,0.55,0.55,0.55
"deltaS3",0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
"deltaS4",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"deltaS2",0.009,0.009,0.009,0.009,0.009,0.009,0.009
"lambdaS2",0.04,0.04,0.04,0.04,0.04,0.04,0.04
"fS1",0.4,0.4,0.4,0.4,0.4,0.4,0.4
"pctInt",0.23,0.23,0.11,0.11,0.06,0.04,0.06
"atmCO2",412.5,412.5,412.5,412.5,412.5,412.5,412.5
"er",0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Lmin",0.2,4,3,0.2,0.1,0.2,0.1
"pk",0.05,0.05,0.05,0.05,0.65,0.65,0.65
"pa",0.65,0.7,0.7,0.65,0.65,0.65,0.65
"pb",200,100,100,200,100,100,100
"Kvpd2",2,2,2,2,2,2,2
"Bp1",0.55,0.55,0.55,0.55,0.55,0.55,0.55
"Bp2",0.3,0.3,0.3,0.3,0.3,0.3,0.3
"W30",40,40,40,40,40,40,40
"Tstar2",15,15,15,15,15,15,15
